,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
0,3.0565E+18,1.23767E+18,184.0708878,20.25347237,22.55728722,21.05433273,20.82053375,20.79236412,20.57209396,24.28755569,-999,STAR,F3/F5V (30743)
4,3.0565E+18,1.23767E+18,183.7028826,21.15444716,22.17702675,21.40865707,21.41080284,21.42409325,21.02711105,24.10343552,-999,QSO,BROADLINE
6,3.0565E+18,1.23767E+18,183.4891127,21.02882969,21.99586678,20.82361031,20.99468803,20.94776726,20.73769188,23.36088562,-999,QSO,null
7,3.0565E+18,1.23767E+18,183.8378787,21.01378821,20.91160583,20.43268585,20.28990746,20.1773243,19.81731224,23.00220108,-999,QSO,BROADLINE
12,3.05672E+18,1.23766E+18,186.4542448,36.88610711,22.48428726,21.54407501,21.15871429,21.34988785,21.15379524,23.8959713,-999,QSO,null
13,3.05672E+18,1.23766E+18,187.0189219,36.94282225,21.31800842,20.51806068,20.19582558,19.96215248,19.48192787,23.51472092,-999,QSO,BROADLINE
16,3.05672E+18,1.23766E+18,186.4748845,37.01709933,20.74642944,19.79128265,19.51761055,19.91431046,19.29456139,22.81700134,-999,STAR,F0II (25291)
21,3.05679E+18,1.23767E+18,186.8474488,35.31626824,22.23524094,21.85480118,21.93007851,21.66330528,22.12416077,23.80765343,-999,QSO,null
23,3.05679E+18,1.23767E+18,187.6238611,35.38343171,23.74302673,21.52355385,21.38702774,21.1464901,21.19183922,24.04378128,-999,STAR,A2II (39866)
31,3.05682E+18,1.23767E+18,186.8956299,22.61772938,22.50242996,21.70779991,22.23955345,21.63236618,21.5578537,23.5069828,-999,QSO,BROADLINE
32,3.05682E+18,1.23767E+18,186.8956299,22.61772938,22.50242996,21.70779991,22.23955345,21.63236618,21.5578537,23.5069828,-999,QSO,BROADLINE
33,3.05682E+18,1.23767E+18,186.8586751,22.65593391,22.15524483,20.61085701,20.39024734,20.30609703,20.25111198,23.44433594,-999,STAR,F0IV (81937)
34,3.05682E+18,1.23767E+18,187.6221078,22.82651636,21.76913834,20.7007618,20.53942108,20.49919891,20.38147545,23.32580376,-999,STAR,A5II (34578)
35,3.05682E+18,1.23767E+18,187.6446849,22.84981741,21.12360191,20.39600563,20.19974136,20.22841072,20.15298653,23.49476242,-999,STAR,F0V (90277)
36,3.05682E+18,1.23767E+18,187.0069341,23.10439581,21.15269661,20.41739464,20.30870056,20.29883003,20.11540604,23.26191711,-999,QSO,BROADLINE
37,3.05682E+18,1.23767E+18,187.0069341,23.10439581,21.15269661,20.41739464,20.30870056,20.29883003,20.11540604,23.26191711,-999,QSO,BROADLINE
38,3.05682E+18,1.23767E+18,186.9214961,23.20848129,22.1601963,21.51516914,21.33509445,21.26016426,20.9329319,23.9817791,-999,STAR,O8e (188001)
40,3.05682E+18,1.23767E+18,186.7330428,23.26508412,22.13997078,21.58980179,21.49107742,21.70821762,20.99896812,22.80461884,-999,QSO,BROADLINE
