galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
3.0565E+18,1.23767E+18,184.0708878,20.25347237,22.55728722,21.05433273,20.82053375,20.79236412,20.57209396,24.28755569,-999,STAR,F3/F5V (30743)
3.0565E+18,1.23767E+18,184.3680069,20.71690691,23.66746521,22.8490963,21.24069595,19.86999702,19.30830574,24.39852142,-999,GALAXY,null
3.0565E+18,1.23767E+18,184.2857749,20.73639638,23.12196159,20.56326294,18.86955261,18.26790237,17.88821793,23.29342079,-999,GALAXY,null
3.0565E+18,1.23767E+18,183.5454553,20.99229365,22.30046844,20.99999046,19.39063263,18.62180901,18.13606262,24.04852676,-999,GALAXY,null
3.0565E+18,1.23767E+18,183.7028826,21.15444716,22.17702675,21.40865707,21.41080284,21.42409325,21.02711105,24.10343552,-999,QSO,BROADLINE
3.0565E+18,1.23767E+18,183.4694672,21.13961218,22.84132957,21.12494278,19.41727066,18.71916199,18.32360458,23.13624954,-999,GALAXY,null
3.0565E+18,1.23767E+18,183.4891127,21.02882969,21.99586678,20.82361031,20.99468803,20.94776726,20.73769188,23.36088562,-999,QSO,null
3.0565E+18,1.23767E+18,183.8378787,21.01378821,20.91160583,20.43268585,20.28990746,20.1773243,19.81731224,23.00220108,-999,QSO,BROADLINE
3.0565E+18,1.23767E+18,183.2875003,20.55782667,22.56728745,20.6770153,18.97128105,18.34913826,17.99565697,23.60368347,23.93773079,GALAXY,null
3.05661E+18,1.23766E+18,184.1800883,37.69227267,26.11904716,22.02208519,20.7467041,19.89227867,19.14622498,23.81316948,-999,GALAXY,null
3.05661E+18,1.23766E+18,184.5936482,37.94017507,24.54431725,23.92477798,21.34975243,20.13980293,19.5962925,23.83054352,-999,GALAXY,null
3.05661E+18,1.23766E+18,184.4288109,38.39001524,22.12367058,19.65065575,18.20511436,17.67592621,17.30474854,24.19555092,-999,GALAXY,null
3.05672E+18,1.23766E+18,186.4542448,36.88610711,22.48428726,21.54407501,21.15871429,21.34988785,21.15379524,23.8959713,-999,QSO,null
3.05672E+18,1.23766E+18,187.0189219,36.94282225,21.31800842,20.51806068,20.19582558,19.96215248,19.48192787,23.51472092,-999,QSO,BROADLINE
3.05672E+18,1.23766E+18,187.1245075,36.97031935,22.51613235,21.74250412,20.2924118,19.46315575,19.06216049,23.3860836,-999,GALAXY,null
3.05672E+18,1.23766E+18,186.6662309,36.96754053,23.80818748,21.35382462,20.16168594,19.36270905,19.11976624,22.53709793,-999,GALAXY,null
3.05672E+18,1.23766E+18,186.4748845,37.01709933,20.74642944,19.79128265,19.51761055,19.91431046,19.29456139,22.81700134,-999,STAR,F0II (25291)
3.05672E+18,1.23766E+18,187.0314721,37.36701753,22.02003288,21.15193367,19.28431511,18.66202927,18.23192215,23.58687019,-999,GALAXY,null
3.05672E+18,1.23766E+18,187.0249356,37.43025376,22.67217255,22.32183838,20.64788437,19.81387711,19.34959602,24.20042229,-999,GALAXY,null
3.05672E+18,1.23766E+18,186.5958599,37.46038452,20.1621933,18.0312748,16.97604561,16.50090027,16.10295677,23.01743889,-999,GALAXY,null
3.05672E+18,1.23766E+18,186.5409864,37.3042134,21.95491028,20.89637375,19.6329174,19.01824951,18.67326736,23.32578087,23.50690651,GALAXY,null
3.05679E+18,1.23767E+18,186.8474488,35.31626824,22.23524094,21.85480118,21.93007851,21.66330528,22.12416077,23.80765343,-999,QSO,null
3.05679E+18,1.23767E+18,187.0816674,35.36400775,21.5395546,21.66772461,20.53955841,19.74679184,19.59066963,22.25224686,-999,GALAXY,null
3.05679E+18,1.23767E+18,187.6238611,35.38343171,23.74302673,21.52355385,21.38702774,21.1464901,21.19183922,24.04378128,-999,STAR,A2II (39866)
3.05679E+18,1.23767E+18,186.6941011,35.44370861,22.55413055,21.84269524,20.35489655,19.50349426,19.21846771,23.56821442,-999,GALAXY,null
3.05679E+18,1.23767E+18,186.8661778,35.74480996,25.44277382,22.37339592,20.76911926,19.8003006,19.30794907,24.10255051,-999,GALAXY,null
3.05679E+18,1.23767E+18,187.8780312,35.74340173,23.01351166,22.14800644,20.77620125,19.89585495,19.50549126,22.55579185,-999,GALAXY,null
3.05679E+18,1.23767E+18,187.6815336,35.34656299,22.87508202,21.53670883,20.20383453,19.47409821,19.22761345,-999,24.31669426,GALAXY,null
3.05679E+18,1.23767E+18,187.19171,35.86416439,23.72130203,21.47951317,20.58498192,19.67359924,19.07270813,23.21047592,23.72798347,GALAXY,null
3.05682E+18,1.23767E+18,187.6815088,22.51582852,23.79762459,22.35527229,20.71107101,19.67086029,19.29179764,23.59157181,-999,GALAXY,null
3.05682E+18,1.23767E+18,186.9479447,22.53009138,26.40789986,22.09376335,21.82958794,21.65824699,21.85467529,24.04023552,-999,GALAXY,null
3.05682E+18,1.23767E+18,186.8956299,22.61772938,22.50242996,21.70779991,22.23955345,21.63236618,21.5578537,23.5069828,-999,QSO,BROADLINE
3.05682E+18,1.23767E+18,186.8956299,22.61772938,22.50242996,21.70779991,22.23955345,21.63236618,21.5578537,23.5069828,-999,QSO,BROADLINE
3.05682E+18,1.23767E+18,186.8586751,22.65593391,22.15524483,20.61085701,20.39024734,20.30609703,20.25111198,23.44433594,-999,STAR,F0IV (81937)
3.05682E+18,1.23767E+18,187.6221078,22.82651636,21.76913834,20.7007618,20.53942108,20.49919891,20.38147545,23.32580376,-999,STAR,A5II (34578)
3.05682E+18,1.23767E+18,187.6446849,22.84981741,21.12360191,20.39600563,20.19974136,20.22841072,20.15298653,23.49476242,-999,STAR,F0V (90277)
3.05682E+18,1.23767E+18,187.0069341,23.10439581,21.15269661,20.41739464,20.30870056,20.29883003,20.11540604,23.26191711,-999,QSO,BROADLINE
3.05682E+18,1.23767E+18,187.0069341,23.10439581,21.15269661,20.41739464,20.30870056,20.29883003,20.11540604,23.26191711,-999,QSO,BROADLINE
3.05682E+18,1.23767E+18,186.9214961,23.20848129,22.1601963,21.51516914,21.33509445,21.26016426,20.9329319,23.9817791,-999,STAR,O8e (188001)
3.05682E+18,1.23767E+18,187.3818569,23.23133782,22.93127823,22.08097649,20.5597477,19.75267029,19.38936424,23.94585991,-999,GALAXY,null
3.05682E+18,1.23767E+18,186.7330428,23.26508412,22.13997078,21.58980179,21.49107742,21.70821762,20.99896812,22.80461884,-999,QSO,BROADLINE
3.05682E+18,1.23767E+18,187.349035,23.38454869,23.05225945,21.48788643,20.51137543,19.6711235,19.37493896,22.94758415,-999,GALAXY,null
3.05682E+18,1.23767E+18,187.349035,23.38454869,23.05225945,21.48788643,20.51137543,19.6711235,19.37493896,22.94758415,-999,GALAXY,null
3.05682E+18,1.23767E+18,187.2595431,23.06029893,23.38084221,22.76806831,20.8609848,19.66540527,19.25926399,-999,24.2059021,GALAXY,null
3.05682E+18,1.23767E+18,187.2499883,22.54963871,22.13236046,21.24489021,21.22044563,21.06739235,21.08386421,23.29377174,23.27199364,STAR,A2II (39866)
3.05682E+18,1.23767E+18,186.8887485,22.998657,21.94715691,21.5411911,21.34147835,21.41926575,21.41422844,22.98498154,23.39448547,QSO,null
3.05682E+18,1.23767E+18,186.8887485,22.998657,21.94715691,21.5411911,21.34147835,21.41926575,21.41422844,22.98498154,23.39448547,QSO,null
3.05682E+18,1.23767E+18,187.1440721,23.04053852,22.6161499,21.23507118,20.0400486,19.2926712,18.99772263,22.31130028,23.99520493,GALAXY,AGN
3.05682E+18,1.23767E+18,187.1440721,23.04053852,22.6161499,21.23507118,20.0400486,19.2926712,18.99772263,22.31130028,23.99520493,GALAXY,AGN
3.05682E+18,1.23767E+18,187.0237851,23.16085269,20.60681725,18.55738831,17.52065849,17.09584999,16.76981926,22.64919662,23.94851303,GALAXY,null
3.05689E+18,1.23766E+18,188.7245987,37.2745741,20.79272652,20.42608833,19.95701218,19.81637383,19.56756592,23.48482895,-999,QSO,BROADLINE
3.05689E+18,1.23766E+18,188.8206493,37.28533522,24.07471085,22.70474243,21.13915825,19.91135979,19.65941048,22.04433441,-999,GALAXY,null
3.05689E+18,1.23766E+18,188.3523478,37.3857906,25.28998756,22.62553596,21.04908371,20.0510273,19.51628113,23.91809654,-999,GALAXY,null
3.05689E+18,1.23766E+18,187.588424,37.41612473,25.949049,21.19405556,19.9959259,19.25362778,19.00905991,23.09420776,-999,GALAXY,null
3.05689E+18,1.23766E+18,187.8455207,37.80518912,24.80566216,21.84819412,20.681427,19.72367287,19.17988968,23.70856094,-999,GALAXY,null
3.05689E+18,1.23766E+18,188.9007487,37.84894049,20.44350815,20.40746117,20.383255,20.04074669,20.0801754,22.88970184,-999,QSO,BROADLINE
3.05693E+18,1.23767E+18,188.4650299,31.11813058,25.85557556,23.94956779,22.32594681,19.49725723,17.83130836,23.71709251,-999,STAR,M8
3.05693E+18,1.23767E+18,188.8436344,31.28612191,25.55765915,21.55668831,19.90226746,19.1175766,18.79534531,22.883461,-999,GALAXY,null
3.05693E+18,1.23767E+18,187.9333544,32.09057611,23.64279366,21.96350288,22.115345,21.69901276,21.63540268,24.36495018,-999,STAR,B5Ib (191243)
3.05693E+18,1.23767E+18,187.8856031,31.70278012,21.36284065,20.11495781,20.03866196,19.76021576,19.38624763,-999,21.32803917,QSO,BROADLINE
3.05696E+18,1.23766E+18,189.0434988,38.58609659,22.15296173,20.74063492,20.49910164,20.44432831,20.35051727,22.74582481,-999,STAR,F0IV (81937)
3.05696E+18,1.23766E+18,187.9924805,38.61976253,22.84254074,22.82991982,21.3597641,20.18226051,19.75071716,23.77910423,-999,GALAXY,null
3.05696E+18,1.23766E+18,188.9082103,38.7304509,22.73557663,21.59042358,20.75595665,19.77486801,19.11618042,24.13034058,-999,GALAXY,null
3.05696E+18,1.23766E+18,188.5648847,38.85785973,23.41993904,21.99781609,20.7929287,19.85816193,19.30367851,23.3917675,-999,GALAXY,null
3.05696E+18,1.23766E+18,188.8065352,39.20285452,25.45969009,22.48879814,20.68749619,19.44404793,18.91326904,24.18513107,-999,GALAXY,null
3.057E+18,1.23767E+18,188.7507791,35.13689782,24.49820709,22.03671455,20.64748955,19.67154121,19.50100136,24.19951439,-999,GALAXY,null
3.057E+18,1.23767E+18,188.1463545,35.27169317,21.76144981,20.89885521,19.13495636,18.51962662,18.15849686,24.13732529,-999,GALAXY,null
3.057E+18,1.23767E+18,188.6057283,35.3438807,25.40340614,21.86230469,20.35348892,19.50245476,19.03296471,23.0616188,-999,GALAXY,null
3.057E+18,1.23767E+18,188.0570078,35.46109249,21.38145256,20.4125309,20.16665459,20.04326248,19.74796867,23.47643661,-999,STAR,F3/F5V (30743)
3.057E+18,1.23767E+18,187.984117,35.52212451,22.51736259,21.42413521,19.97154236,19.0627327,18.70468712,23.57671547,-999,GALAXY,null
3.057E+18,1.23767E+18,188.3455905,35.54786724,24.21962166,21.64060211,20.03614807,19.11203957,18.63878822,24.02321434,-999,GALAXY,null
3.057E+18,1.23767E+18,188.5991113,35.63724108,25.85142899,23.02949715,21.15899849,19.64614105,19.00678444,24.77497864,-999,GALAXY,null
3.057E+18,1.23767E+18,189.2330573,35.71896428,23.21131325,21.34013367,21.08595276,20.99747467,20.79157257,23.63781357,-999,QSO,null
3.057E+18,1.23767E+18,188.4562467,35.2618481,19.71307373,17.59980965,16.48386192,16.01736641,15.66018295,23.31415367,23.52865219,GALAXY,null
3.05707E+18,1.23766E+18,190.6859348,38.07279028,22.40026474,21.58652878,20.1247139,19.22896385,18.7882061,22.89566422,-999,GALAXY,null
3.05707E+18,1.23766E+18,191.1529546,38.44027412,20.23591805,20.41162109,20.20574951,20.01237679,20.14607048,20.73729897,-999,QSO,BROADLINE
3.05707E+18,1.23766E+18,190.825663,38.55380101,25.8247242,21.6755867,20.16620255,19.41129303,18.92134476,24.0368042,-999,GALAXY,null
