galex_objid,sdss_objid,ra,dec,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,subclass
2.48863E+18,1.23767E+18,181.9260205,29.70618568,23.01959801,21.97415924,20.35728455,19.5199585,18.99365425,0.075410724,0.058759522,0.040649567,0.030206984,0.022468446,23.56884384,-999,GALAXY,null
2.48863E+18,1.23767E+18,182.3155648,30.14525928,21.74888992,21.2387104,19.87356949,18.99422646,18.62919235,0.074949831,0.0584004,0.040401127,0.030022368,0.022331126,24.05400276,-999,GALAXY,null
2.48887E+18,1.23766E+18,183.6749553,14.98779316,22.62656975,21.860466,20.28091049,19.50932503,19.37024307,0.145571038,0.113427967,0.078468941,0.058310833,0.043372545,22.30548859,-999,GALAXY,null
2.48887E+18,1.23766E+18,183.3788911,15.18404691,24.90108681,21.85269737,20.21799088,19.3097229,18.90975189,0.136888549,0.106662631,0.073788717,0.054832924,0.040785622,22.76027298,-999,GALAXY,null
2.4893E+18,1.23767E+18,184.9544159,29.16539611,21.61502647,21.39213753,20.77586365,19.76967812,19.43896103,0.11494346,0.089563169,0.061959382,0.046042461,0.034247134,22.78308678,-999,QSO,null
2.4893E+18,1.23767E+18,184.900123,29.19003253,21.53919792,21.21392822,19.80702782,19.23250389,18.82695198,0.11793492,0.09189409,0.063571908,0.047240742,0.035138432,24.12181091,-999,GALAXY,null
2.4893E+18,1.23767E+18,185.6365607,29.43556112,21.73684883,20.98625183,20.8133049,20.68214035,20.39776421,0.110518947,0.086115614,0.059574384,0.044270154,0.032928862,24.23612213,-999,STAR,F0IV (81937)
2.4893E+18,1.23767E+18,184.9314497,29.65881085,18.28629112,16.96824265,16.33431816,16.03988457,15.85720253,0.094920635,0.073961519,0.051166236,0.038021997,0.028281379,20.53570938,22.65497017,STAR,F9
2.48937E+18,1.23766E+18,185.9596242,15.67354971,25.48861694,22.25627708,20.59682846,19.56998062,19.14539909,0.11401654,0.088840917,0.061459731,0.045671169,0.033970959,23.90896988,-999,GALAXY,null
2.48937E+18,1.23766E+18,185.2844495,16.17112079,23.32650566,21.77997398,20.11764336,19.04910851,18.51835442,0.123541258,0.096262507,0.06659396,0.049486447,0.036808826,23.33802986,-999,GALAXY,null
2.48937E+18,1.23766E+18,185.404904,16.17433745,22.17125893,21.40230751,21.35334778,21.2648735,20.93025017,0.12058603,0.093959823,0.065000966,0.048302684,0.035928324,23.80251503,-999,STAR,A6IV (28527)
2.48937E+18,1.23766E+18,185.3290223,16.18026225,22.85998726,21.88325882,20.76428223,19.68026733,19.46525002,0.125654846,0.097909406,0.067733273,0.050333079,0.037438564,23.34228325,-999,GALAXY,null
2.48951E+18,1.23767E+18,185.884748,33.83216103,22.94783783,22.70508385,21.64129066,20.73511314,20.92460442,0.053056061,0.041340925,0.02859946,0.021252465,0.015807929,23.2715435,-999,GALAXY,null
2.48951E+18,1.23767E+18,186.0169229,33.9101142,17.85886002,15.79055119,14.88391209,14.46243095,14.16377163,0.056697574,0.044178367,0.03056239,0.02271113,0.016892908,20.75525475,22.51593781,GALAXY,null
2.48958E+18,1.23767E+18,186.8802266,31.563468,20.24564171,20.14446831,20.22211075,20.04130745,19.68107605,0.061472338,0.047898829,0.033136189,0.024623739,0.018315539,-999,23.46948624,QSO,BROADLINE
2.48989E+18,1.23766E+18,187.4421393,41.25952146,24.10201645,22.35128021,20.66809273,19.67474556,19.15195274,0.11570207,0.090154268,0.062368304,0.046346333,0.034473158,24.42547417,-999,GALAXY,null
2.48989E+18,1.23766E+18,187.7513417,41.28627921,21.91529465,21.67185211,21.22562218,21.16437531,21.28033447,0.101703405,0.079246603,0.054822434,0.040738944,0.03030229,23.33518028,-999,QSO,null
2.48989E+18,1.23766E+18,187.9192158,41.32247177,22.24725533,21.56262207,21.27876472,21.16818428,20.77502632,0.100216679,0.078088157,0.054021027,0.040143412,0.029859323,24.43175697,-999,STAR,F3/F5V (30743)
2.48989E+18,1.23766E+18,187.266943,41.34688718,22.02676392,21.6611805,21.58743095,21.36671638,20.73988914,0.094101131,0.073322959,0.050724484,0.037693728,0.028037209,23.43512154,-999,QSO,BROADLINE
2.48989E+18,1.23766E+18,187.2128446,41.35756131,21.81116486,21.53160477,21.46273232,21.33852005,21.14528084,0.091445021,0.071253344,0.049292732,0.036629781,0.027245829,22.32792282,-999,QSO,null
2.48989E+18,1.23766E+18,188.1130565,41.3779131,25.13327026,22.37528229,21.17306137,20.12421417,19.66381264,0.096929491,0.075526804,0.052249093,0.038826674,0.028879913,24.68337631,-999,QSO,null
2.48989E+18,1.23766E+18,188.2381132,41.44892344,22.73496246,21.51623344,20.17850113,19.23802948,18.80967522,0.105130598,0.081917048,0.056669835,0.042111762,0.031323414,22.59444427,22.96605301,QSO,null
2.48989E+18,1.23766E+18,187.9938056,41.55036199,21.22339821,21.14362335,21.14997292,20.99898911,21.14585304,0.085433081,0.066568881,0.046052042,0.034221604,0.025454586,22.86787415,24.001894,QSO,BROADLINE
2.48989E+18,1.23766E+18,188.417102,41.64666935,21.77144432,21.63699532,21.56497383,21.47639275,21.26608467,0.074157096,0.05778271,0.03997381,0.029704824,0.022094931,21.90054131,22.84602547,QSO,null
2.49018E+18,1.23767E+18,189.2736276,27.48018146,22.95975113,21.48080444,19.5120945,18.68119621,18.16031265,0.070857368,0.055211581,0.038195115,0.028383065,0.021111786,24.47334099,-999,GALAXY,null
2.49018E+18,1.23767E+18,189.2668423,27.48405164,21.02692032,20.28857231,20.14367485,20.16461945,19.91030121,0.072818935,0.056740019,0.039252482,0.029168801,0.021696229,24.04459572,-999,QSO,BROADLINE
2.49018E+18,1.23767E+18,189.0582395,27.56055444,26.3776226,20.61309433,18.9400692,18.29436874,17.96873474,0.072969526,0.056857362,0.03933366,0.029229125,0.0217411,23.71430016,-999,GALAXY,null
2.49018E+18,1.23767E+18,188.4394165,27.63343851,24.21854782,22.02404594,20.44211578,19.39302635,18.93644905,0.072094046,0.056175195,0.03886174,0.028878437,0.021480251,22.91598129,-999,GALAXY,null
2.49018E+18,1.23767E+18,188.3229109,27.84477473,22.62885666,21.14969635,21.04259872,20.90428734,21.08148766,0.0692828,0.053984687,0.037346356,0.027752345,0.020642646,23.08366776,-999,STAR,F0IV (81937)
2.49018E+18,1.23767E+18,189.6080607,27.89514673,21.88188744,20.35178947,18.84945107,18.17364311,17.73399544,0.063763186,0.049683839,0.034371052,0.025541374,0.01899809,22.63669968,-999,GALAXY,null
2.49018E+18,1.23767E+18,189.6090117,27.95301135,21.56389236,20.47509956,20.35629463,20.26753998,20.19630432,0.06458912,0.050327405,0.034816269,0.025872217,0.019244177,23.69344521,-999,STAR,F0IV (81937)
2.49018E+18,1.23767E+18,189.1314873,28.17277594,20.77438736,18.70387459,17.46017265,17.00892067,16.71937561,0.070545159,0.054968312,0.038026825,0.028258005,0.021018764,23.66146851,-999,GALAXY,null
